,Round.No,Institute,Academic.Program.Name,,Category,Opening.Rank,Closing.Rank
86,7,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,656,656
87,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,General,7666,9177
88,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,General,11713,11965
89,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2999,3377
90,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,5610,5610
91,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,SC,2721,2721
92,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,SC,1704,1932
93,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",,ST,188,859
94,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,9195,9769
95,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,General,11996,13352
96,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,OBC-NCL,3555,3563
97,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,SC,1943,1943
98,7,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,ST,828,828
99,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,General,1425,3817
100,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,General,1040,2053
101,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,General PwD,20,20
102,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,740,1074
103,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1161,1185
104,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),21,21
105,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,SC,235,492
106,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,SC,1074,1074
107,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,ST,99,99
108,7,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",,ST,56,230
109,7,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",,General,742,1479
110,7,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",,General,2898,2898
111,7,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",,OBC-NCL,4002,4002
112,7,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",,OBC-NCL,1492,1535
113,7,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",,SC,53,53
114,7,Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",,ST,627,627
115,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,General,653,1721
116,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,General,1766,3239
117,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,General PwD,41,41
118,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,600,2598
119,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,539,975
120,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,SC,211,626
121,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,SC,649,851
122,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,ST,584,584
123,7,Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",,ST,148,332
124,7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,General,4467,5628
125,7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,General,4731,8302
126,7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,OBC-NCL,1417,2789
127,7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,OBC-NCL,2878,6738
128,7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,SC,1473,1615
129,7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,SC,1835,1835
130,7,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",,ST,686,853
131,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,General,2471,4675
132,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,General,1443,2544
133,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,General PwD,67,67
134,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,General PwD,32,32
135,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,601,1086
136,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2012,2214
137,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),14,14
138,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),16,16
139,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,172,439
140,7,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,424,824
