Round No,Institute,Academic Program Name,,Category,Opening Rank,Closing Rank
7,Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",,ST,235,273
7,Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",,General,3337,4845
7,Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",,General PwD,158,158
7,Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",,OBC-NCL,1837,2382
7,Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",,SC,940,1540
7,Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",,ST,861,921
7,Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",,General,836,1207
7,Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",,General PwD,28,28
7,Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",,OBC-NCL,424,639
7,Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",,SC,252,458
7,Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",,ST,188,281
7,Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,2342,2923
7,Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General PwD,72,72
7,Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,755,1056
7,Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),33,33
7,Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,521,657
7,Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,170,296
7,Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,5018,5940
7,Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1526,2218
7,Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,918,1319
7,Indian Institute of Technology Bhilai,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,611,689
7,Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,4961,8242
7,Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",,General PwD,189,189
7,Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2473,2892
7,Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,1395,1593
7,Indian Institute of Technology Bhilai,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,668,727
7,Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,7257,8778
7,Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2582,2930
7,Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),18,18
7,Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,1354,1515
7,Indian Institute of Technology Bhilai,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,670,718
7,Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,3475,4825
7,Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,937,2008
7,Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,621,947
7,Indian Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,562,604
7,Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,5198,7525
7,Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",,General PwD,218,218
7,Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2402,2839
7,Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,1437,1533
7,Indian Institute of Technology Goa,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,607,705
7,Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,6813,8213
7,Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General PwD,265,265
7,Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2442,2836
7,Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),133,133
7,Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,1346,1466
7,Indian Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,633,644
7,Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",,General,7334,9509
7,Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2728,3060
7,Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,1398,1558
7,Indian Institute of Technology Palakkad,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,551,640
7,Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,3396,4962
7,Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,163,163
7,Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1523,1881
7,Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,877,1079
7,Indian Institute of Technology Palakkad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,535,728
7,Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,5390,7207
7,Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2365,2537
7,Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,1367,1539
7,Indian Institute of Technology Palakkad,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,561,654
7,Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,5172,8349
7,Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1890,2626
7,Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),60.01,60.01
7,Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,1385,1525
7,Indian Institute of Technology Palakkad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,657,714
7,Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",,General,7200,9374
7,Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2037,2740
7,Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,1311,1585
7,Indian Institute of Technology Tirupati,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,518,526
7,Indian Institute of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,2932,4384
7,Indian Institute of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,90,90
7,Indian Institute of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1332,1620
7,Indian Institute of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,598,872
7,Indian Institute of Technology Tirupati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,430,590
7,Indian Institute of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,4990,7270
7,Indian Institute of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1884,2281
7,Indian Institute of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,942,1389
7,Indian Institute of Technology Tirupati,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,555,626
7,Indian Institute of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,6071,8156
7,Indian Institute of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2348,2563
7,Indian Institute of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),55,55
7,Indian Institute of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,1027,1424
7,Indian Institute of Technology Tirupati,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,485,515
7,Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",,General,9517,10082
7,Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",,General PwD,228,228
7,Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,3112,3414
7,Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,1620,1796
7,Indian Institute of Technology Jammu,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,537,538
7,Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,2927,6687
7,Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,160,160
7,Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1656,2390
7,Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,1083,1374
7,Indian Institute of Technology Jammu,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,764,829
7,Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,7137,8830
7,Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2959,3209
7,Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),46,46
7,Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,1504,1692
7,Indian Institute of Technology Jammu,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,647,735
7,Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,7585,9473
7,Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2762,3094
7,Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,1401,1721
7,Indian Institute of Technology Jammu,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,765,791
7,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,3224,5386
7,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,251,251
7,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1844,2031
7,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,1086,1265
7,Indian Institute of Technology Dharwad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,672,693
7,Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",,General,5941,8214
7,Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",,General PwD,182,182
7,Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2170,2878
7,Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",,SC,1532,1594
7,Indian Institute of Technology Dharwad,"Electrical Engineering (4 Years, Bachelor of Technology)",,ST,627,674
7,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,General,7063,8856
7,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2578,2988.02
7,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,1369,1686
7,Indian Institute of Technology Dharwad,"Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,734,740
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",,General,54038,67945
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",,OBC-NCL,32975,71712
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",,SC,7361,12483
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",,General,24088,33912
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",,General PwD,1793,1793
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",,OBC-NCL,8481,10312
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",,SC,4151,6321
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Bio Technology (4 Years, Bachelor of Technology)",,ST,2186,2186
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",,General,19250,50748
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,23132,48529
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",,SC,6561,9913
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",,General,14664,27152
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,6866,8270
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",,SC,3231,5205
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Chemical Engineering (4 Years, Bachelor of Technology)",,ST,1513,2346
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,General,19957,33914
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,General PwD,1289,1289
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,14690,32599
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,SC,3105,5540
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,ST,26181,26181
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,General,16511,23340
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,General PwD,369,369
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,6074,7443
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,SC,1819,3090
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,SC PwD,166,166
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Civil Engineering (4 Years, Bachelor of Technology)",,ST,618,1072
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,6002,12195
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,4055,9880
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,845,2224
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC PwD,174,174
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,1226,6105
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,7036,9881
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,158,158
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,2003,3614
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),157,157
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,1678,2231
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,747,1019
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,General,12537,18763
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,10337,17871
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,SC,2982,5168
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,ST,7415,12775
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,General,10534,15964
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,General PwD,271,271
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,3631,5592
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),630,630
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,SC,2707,3147
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",,ST,1370,1907
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",,General,30163,60076
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,39457,82459
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",,SC,6795,12140
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",,General,23264,33481
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,9026,11436
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",,SC,4724,6744
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)",,ST,673,3343
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",,General,20816,42036
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,38267,57904
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",,SC,6129,9213
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",,General,16387,29287
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,7729,10230
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",,SC,4461,5938
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",,ST,2430,2871
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,General,4242,25213
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,10008,22484
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,1280,4704
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,9802,9802
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,General,14137,18316
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,General PwD,505,505
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,4924,6208
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),837,837
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,SC,2422,3279
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)",,ST,902,1546
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",,General,40607,76237
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",,OBC-NCL,28515,119992
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",,SC,8224,16414
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",,General,28084,36840
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",,General PwD,685,685
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",,OBC-NCL,10263,12943
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",,SC,5503,7347
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",,ST,2723,4168
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,General,762,2697
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,OBC-NCL,777,2600
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,SC,423,849
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,ST,332,642
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,General,574,1738
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,General PwD,86,86
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,OBC-NCL,439,959
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,SC,163,371
7,Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",,ST,188,233
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,General,12127,18919
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,General PwD,1323,1323
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,4793,6297
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,SC,1880,3033
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,ST,470,984
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,General,12965,20237
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,5395,7467
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,SC,2016,3724
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,SC PwD,68,68
7,Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",,ST,1677,2765
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,General,8744,15294
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,General PwD,1117,1117
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,3867,4514
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),548,548
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,346,2121
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,104,146
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,General,11906,20427
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,4904,6077
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,SC,1576,2742
7,Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",,ST,469,1341
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,2099,4539
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,292,292
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,824,1827
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,194,886
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,ST,145,430
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General,3405,5931
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,General PwD,83,83
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,1143,2007
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,OBC-NCL(PwD),42,42
7,Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",,SC,798,1041
